event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,inter2,interaction,civilian_targeting,region,country,location,notes,check,fatalities,perpetrator,is_lethal
PSE91378,2026-01-01,2026,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),7,78,Civilian targeting,Middle East,Palestine,Jabalya,"On 1 January 2026, Israeli forces killed a child with gunfire, likely tank fire, in Jabalya (North Gaza, Gaza Strip), casualties unknown. This event occurred in a Hamas-controlled area of the Yellow Line.",1,1,Israel,1
PSE92047,2026-01-03,2026,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),7,78,Civilian targeting,Middle East,Palestine,Beit Lahiya,"On 3 January 2026, Israeli soldiers opened fire in Beit Lahiya town (North Gaza, Gaza Strip). A woman and a girl were killed. This event occurred in a divided area of the Yellow Line and the exact side is unclear.",1,2,Israel,1
PSE92055,2026-01-03,2026,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),7,78,Civilian targeting,Middle East,Palestine,Al Mawasi (Rafah),"On 3 January 2026, Israeli artillery opened fire in Al Mawasi (Rafah) (Rafah, Gaza Strip) killing 1 girl and injuring 17 individuals. Most of the individuals are internally displaced people. This event occurred in a Hamas-controlled area of the Yellow Line.",1,1,Israel,1
PSE91944,2026-01-08,2026,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),7,78,Civilian targeting,Middle East,Palestine,Jabalya Camp,"On 8 January 2026, Israeli forces opened fire in Al Faloujah area in Jabalya Camp (North Gaza, Gaza Strip), killing 1 child. This event occurred in a Hamas-controlled area of the Yellow Line.",1,1,Israel,1
PSE91949,2026-01-08,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),7,78,Civilian targeting,Middle East,Palestine,Al Mawasi (Khan Yunis),"On 8 January 2026, an Israeli drone struck an IDPs' tent in street 5 in Al Mawasi (Khan Yunis) in (Khan Yunis, Gaza Strip), killing 4 people [among them 3 children]. Also, Israeli warplanes struck an IDPs' tent in the vicinity of Al Attar station, killing 1 person and injuring 3 others. Total fatalities were 5. This event occurred in a Hamas-controlled area of the Yellow Line.",1,5,Israel,1
YEM112664,2026-01-13,2026,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Suq Sirwah,"On 13 January 2026, a projectile leftover from previous unidentified military activity exploded in Wadi Nawae in Sirwah district (coded to district center Suq Sirwah) (Marib) killing 3 children of the same family (10, 15, and 17 year old boys) while they were playing near their house. Sources differed as to the origin of the device (Houthi or anti-Houthi).",1,3,Other/Non-State,1
ETH17648,2026-01-15,2026,1,Strategic developments,Strategic developments,Other,Unidentified Military Forces,,8,Civilians (Ethiopia),7,78,,Eastern Africa,Ethiopia,Abergele,"Explosive remnants of war: On 15 January 2026, a cannon shell believed to have abandoned during the northern Ethiopia conflict (2020-2022) blasted at Baltarf in 03 Kebele in Abergele Woreda (location coded to the admin center Abergele, Wag Hamra, Amhara), killing 6 persons and gravely injuring another 2 individuals. The cannon projectile (shell) was likely found unexploded, and one of the victims took it to their private residential house, where it exploded, killing the victims, and three of the victims were members of the same family (a father and his two children).",1,6,Other/Non-State,1
PSE92210,2026-01-16,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),7,78,Civilian targeting,Middle East,Palestine,Beit Lahiya,"On 16 January 2026, an Israeli drone dropped a quadcopter bomb in the vicinity of Abu Tamam school in Beit Lahiya (North Gaza, Gaza Strip) killing a 10-years-old girl. This event occurred in a divided area of the Yellow Line and the exact side is unclear.",1,1,Israel,1
PSE92248,2026-01-16,2026,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),7,78,Civilian targeting,Middle East,Palestine,Beit Lahiya,"On 16 January 2026, Israeli forces shot dead a 16-year-old Palestinian minor with sniper fire in Beit Lahiya (North Gaza, Gaza Strip). This event occurred in a divided area of the Yellow Line and the exact side is unclear.",1,1,Israel,1
PSE92607,2026-01-19,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),7,78,Civilian targeting,Middle East,Palestine,Bani Suheila,"On 19 January 2026, an Israeli drone [Quadcopter] opened fire in Al Tahlyeeh area near Bani Suheila intersection (Khan Yunis, Gaza Strip), killing a 17-year-old Palestinian. Also, Israeli drones dropped bombs on Al Fajam street and its vicinity in the same location, casualties unknown. This event occurred in an Israeli-controlled area of the Yellow Line.",1,1,Israel,1
